Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	30759	-	0	0	1	0	0	0	14	72	0	0	0	0	0	0	0	1	0	0	153	147	0	0	0	0	9	0	1
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	7	0	0	0	0	0	0	3	34	0	0	1	0	0	0	0	0	0	0	52	815	0	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	14	72	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CoreDataElementType.json	1018	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	7	38	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	31	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	32	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-ISCO08.json	63870	7	0	0	1	0	0	0	5	41	0	0	0	0	0	0	0	1	0	0	184	155	0	0	0	0	12	0	0
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	31	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	5	0	0	0	0	0	0	2	35862	0	0	0	0	0	0	0	0	0	0	52	34584	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	3	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	46	22	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	4493	3	0	13	0	0	0	0	0	68	0	0	0	0	0	0	0	1	0	0	67	582	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflowSource.json	2860	3	0	16	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	31	125	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	2891	3	0	31	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	38	76	0	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-CoreDataElementSource.json	2644	2	0	31	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	73	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DAK.json	9101	4	0	92	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	104	233	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	2434	2	0	57	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	90	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogicSource.json	2779	3	0	57	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	99	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5677	3	0	57	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	63	126	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-FHIRSchemaBase.json	3563	3	0	42	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	82	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3193	3	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	45	107	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-GenericPersona.json	3144	3	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	37	119	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GenericPersonaSource.json	2613	3	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	117	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HealthInterventions.json	2399	2	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	30	78	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HealthInterventionsSource.json	2748	3	0	11	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	78	0	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	3	0	24	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	107	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Markdown.json	1153	4	0	12	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	30	95	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-NonFunctionalRequirement.json	2316	2	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	98	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Persona.json	2465	3	0	10	1	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	31	294	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicator.json	3895	3	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	46	58	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicatorSource.json	2667	3	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	50	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Requirements.json	4251	3	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	63	77	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-RequirementsSource.json	2555	2	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	26	54	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	3	0	35	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	173	226	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	4	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	30	57	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	3	0	64	0	0	0	0	0	26	0	0	1	0	0	0	0	1	0	0	216	220	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	2	0	36	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	152	192	0	0	0	0	8	1	0
fsh-generated/resources/StructureDefinition-SGCommunicationRequest.json	1033	3	0	39	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	94	176	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	3	0	35	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	143	166	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-SGDecisionTable.json	768	3	0	74	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	214	212	0	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-SGDocumentation.json	2214	2	0	17	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	52	61	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	4	0	93	0	0	0	0	0	77	0	0	1	0	0	0	0	2	0	0	683	493	0	0	0	0	34	0	1
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	3	0	22	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	102	121	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	3	0	97	0	0	0	0	0	89	0	0	0	0	0	0	0	1	0	0	563	889	0	0	0	0	30	1	1
fsh-generated/resources/StructureDefinition-SGMarkdown.json	1195	3	0	9	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	31	72	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	3	0	30	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	175	261	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	2	0	0	0	0	0	0	0	26	0	0	1	0	0	0	0	1	0	0	213	306	0	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	1700	3	0	33	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	188	291	0	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-SGRequirementExt.json	1304	3	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	76	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	3	0	70	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	149	253	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	4	0	32	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	184	261	0	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-SGTask.json	1958	3	0	10	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	52	87	0	0	0	0	3	0	0
