Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	30758	-	0	0	0	0	0	0	17	96	0	0	0	0	0	0	0	1	0	0	227	152	0	0	0	0	13	0	5
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	6	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	7	0	0	1	0	1	0	3	36	0	0	0	0	0	0	0	0	0	0	65	630	0	0	0	0	11	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	28	116	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CoreDataElementType.json	1018	5	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	15	51	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	6	35	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	38	0	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	13	0	0	1	0	0	0	7	68	0	0	0	0	0	0	0	1	0	0	190	156	0	0	0	0	30	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	10	38	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	10	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	38	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	14	0	0	0	0	0	0	4	74963	0	0	0	0	0	0	0	0	0	0	56	75452	0	0	1	0	4	0	1
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	10	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	44	25	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	4493	11	0	19	0	0	0	0	0	33	0	0	1	0	0	0	0	0	0	0	61	608	0	0	0	0	11	1	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflowSource.json	2860	6	0	20	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	30	145	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	2891	5	0	35	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	38	121	0	0	0	0	2	0	4
fsh-generated/resources/StructureDefinition-CoreDataElementSource.json	2644	4	0	35	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	28	98	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-DAK.json	9101	5	0	46	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	105	139	0	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	2434	5	0	38	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	72	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogicSource.json	2779	4	0	35	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	29	72	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5677	4	0	55	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	64	91	0	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-FHIRSchemaBase.json	3299	5	0	28	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	34	68	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3193	7	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	46	68	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-GenericPersona.json	3144	6	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	70	79	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-GenericPersonaSource.json	2613	4	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	61	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HealthInterventions.json	2399	5	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	31	61	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-HealthInterventionsSource.json	2748	4	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	31	101	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	5	0	19	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	31	65	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-Markdown.json	1153	4	0	15	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	39	89	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-NonFunctionalRequirement.json	2316	5	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30	58	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Persona.json	2465	5	0	9	0	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	35	718	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicator.json	3895	4	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	50	95	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicatorSource.json	2667	5	0	40	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	76	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Requirements.json	4251	4	0	15	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	68	102	0	0	0	0	6	0	2
fsh-generated/resources/StructureDefinition-RequirementsSource.json	2555	4	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	37	72	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	4	0	46	0	0	0	0	0	16	0	0	1	0	0	0	0	1	0	0	196	335	0	0	0	0	17	0	3
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	4	0	18	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	41	86	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	4	0	53	0	0	0	0	0	20	0	0	0	0	0	0	0	2	0	0	216	332	0	0	0	0	12	2	2
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	4	0	43	0	0	0	0	0	40	0	0	0	0	0	0	0	1	0	0	159	336	0	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-SGCommunicationRequest.json	1033	5	0	24	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	101	192	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	4	0	37	0	0	0	0	0	16	0	0	1	0	0	0	0	1	0	0	148	248	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-SGDecisionTable.json	768	4	0	73	1	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	218	308	0	0	0	0	17	1	1
fsh-generated/resources/StructureDefinition-SGDocumentation.json	2214	4	0	23	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	49	92	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	5	0	86	0	0	0	0	0	57	0	0	1	0	0	0	0	4	0	0	692	866	0	0	0	0	37	0	3
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	10	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	99	195	0	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	6	0	67	0	0	0	0	0	51	0	0	0	0	0	0	0	4	0	0	568	768	0	0	0	0	30	0	2
fsh-generated/resources/StructureDefinition-SGMarkdown.json	1195	5	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	30	75	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	4	0	85	0	0	0	0	1	18	0	0	0	0	0	0	0	1	0	0	175	184	0	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	4	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	1	0	0	218	226	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	1700	4	0	43	0	0	0	0	0	22	0	0	1	0	0	0	0	1	0	0	238	190	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-SGRequirementExt.json	1304	5	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	62	0	0	0	0	2	0	0
