Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	54149	-	0	0	0	0	0	0	17	68	0	0	0	0	0	0	0	2	0	0	183	182	0	0	0	0	20	0	2
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	3	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.CommunityHealthWorker.json	1306	4	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	25	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.DataManager.json	1676	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.HealthSystemManager.json	1410	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.HealthcareProvider.json	1819	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	2	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.Person.json	1334	2	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.ClientRegistry.json	1036	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.EMR.json	1290	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	1	0	1
fsh-generated/resources/ActorDefinition-DAK.Persona.System.HMIS.json	1097	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.InteropPlatform.json	1103	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
