Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	30759	-	0	0	0	0	0	0	14	98	0	0	0	0	0	0	0	1	0	0	178	128	0	0	0	0	8	0	2
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	6	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	9	0	0	1	0	0	0	3	37	0	0	0	0	0	0	0	0	0	0	55	590	0	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	16	46	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CoreDataElementType.json	1018	4	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	6	33	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	4	29	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	29	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	9	0	0	0	0	0	0	8	48	0	0	1	0	0	0	0	1	0	0	187	147	0	0	0	0	13	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	4	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	8	24	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	4	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	7	0	0	0	0	0	0	4	42113	0	0	0	0	0	0	0	0	0	0	53	41790	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	4	0	0	0	0	0	0	2	66	0	0	0	0	0	0	0	0	0	0	50	19	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	4493	5	0	20	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	62	507	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflowSource.json	2860	5	0	24	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	34	144	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	2891	4	0	34	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	37	129	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-CoreDataElementSource.json	2644	5	0	35	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	28	85	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DAK.json	9101	5	0	44	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	117	134	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	2434	5	0	37	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	35	68	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogicSource.json	2779	4	0	35	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	26	70	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5677	4	0	35	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	65	87	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-FHIRSchemaBase.json	3299	5	0	33	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	45	67	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3193	4	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	44	79	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-GenericPersona.json	3144	5	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	37	83	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-GenericPersonaSource.json	2613	4	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	28	63	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HealthInterventions.json	2399	4	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	29	62	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HealthInterventionsSource.json	2748	5	0	9	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	26	59	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	4	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	28	76	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Markdown.json	1153	6	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	72	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-NonFunctionalRequirement.json	2316	4	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	72	0	0	0	0	0	1	0
fsh-generated/resources/StructureDefinition-Persona.json	2465	4	0	8	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	32	409	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicator.json	3895	5	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	46	90	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicatorSource.json	2667	4	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	31	75	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Requirements.json	4251	5	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	77	101	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-RequirementsSource.json	2555	4	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	26	70	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	4	0	36	0	0	0	0	0	25	0	0	1	0	0	0	0	1	0	0	174	395	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	5	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	29	79	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	4	0	47	0	0	0	0	0	55	0	0	0	0	0	0	0	1	0	0	216	314	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	4	0	35	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	153	274	0	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-SGCommunicationRequest.json	1033	4	0	29	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	140	203	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	5	0	31	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	152	232	0	0	0	0	4	0	1
