Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	30759	-	0	0	0	0	0	0	18	83	0	0	0	0	0	0	0	0	0	0	143	123	0	0	0	0	8	0	2
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	9	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	11	0	0	0	0	0	0	2	38	0	0	1	0	0	0	0	1	0	0	51	593	0	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	5	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	13	48	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CoreDataElementType.json	1018	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	30	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	4	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	6	28	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	11	0	0	0	0	0	0	6	47	0	0	0	0	0	0	0	1	0	0	176	132	0	0	0	0	13	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	8	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	8	24	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	17	26	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	12	0	0	0	0	0	0	4	33284	0	0	0	0	0	0	0	1	0	0	57	32939	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	8	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	51	24	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	4493	9	0	21	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	63	593	0	0	1	0	4	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflowSource.json	2860	8	0	16	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	29	172	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	2891	8	0	47	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	35	164	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-CoreDataElementSource.json	2644	8	0	47	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	60	118	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DAK.json	9101	9	0	52	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	106	228	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	2434	7	0	47	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	32	80	0	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogicSource.json	2779	5	0	48	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	32	75	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5677	4	0	51	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	60	116	0	0	0	0	6	0	0
