Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	30759	-	0	0	0	0	1	0	16	92	0	0	0	0	0	0	0	1	0	0	171	168	0	0	0	0	12	0	2
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	7	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	8	0	0	1	0	0	0	2	34	0	0	1	0	0	0	0	0	0	0	54	616	0	0	0	0	11	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	5	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	17	49	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CoreDataElementType.json	1018	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	32	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	29	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	4	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	11	30	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	14	0	0	0	0	0	0	6	34	0	0	0	0	0	0	0	0	0	0	188	150	0	0	0	0	22	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	4	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	7	27	0	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-SGTasks.json	3123	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	13	28	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	8	0	0	0	0	0	0	3	42223	0	0	0	0	0	0	0	0	0	0	50	41516	0	0	0	0	6	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	4	0	0	0	0	0	0	1	59	0	0	0	0	0	0	0	0	0	0	43	21	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	4493	5	0	13	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	63	531	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflowSource.json	2860	5	0	18	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	29	150	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-CoreDataElement.json	2891	4	0	39	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	36	134	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-CoreDataElementSource.json	2644	4	0	44	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	86	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DAK.json	9101	6	0	42	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	116	160	0	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	2434	4	0	49	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	36	88	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogicSource.json	2779	4	0	35	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	27	81	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5677	4	0	37	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	66	118	0	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-FHIRSchemaBase.json	3299	4	0	35	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	45	110	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-FunctionalRequirement.json	3193	4	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	45	93	0	0	1	0	5	0	0
fsh-generated/resources/StructureDefinition-GenericPersona.json	3144	4	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	98	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-GenericPersonaSource.json	2613	4	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	93	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HealthInterventions.json	2399	4	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	30	115	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-HealthInterventionsSource.json	2748	4	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	75	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	4	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	31	88	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-Markdown.json	1153	4	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	41	95	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-NonFunctionalRequirement.json	2316	4	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	81	0	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-Persona.json	2465	4	0	8	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	32	356	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicator.json	3895	4	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	47	97	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ProgramIndicatorSource.json	2667	4	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	28	77	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Requirements.json	4251	5	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	68	206	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-RequirementsSource.json	2555	4	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	36	85	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	4	0	36	0	0	0	0	0	15	0	0	1	0	0	0	0	2	0	0	226	345	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	4	0	12	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	30	90	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	3	0	44	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	216	395	0	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	4	0	38	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	159	395	0	0	0	0	11	1	1
